! ！
" ＂
# ＃
$ ＄
% ％
& ＆
' ＇
( （
) ）
* ＊
+ ＋
, ，
- －
. ．
/ ／
0 ０
1 １
2 ２
3 ３
4 ４
5 ５
6 ６
7 ７
8 ８
9 ９
: ：
; ；
< ＜
= ＝
> ＞
? ？
@ ＠
a ａ
b ｂ
c ｃ
d ｄ
e ｅ
f ｆ
g ｇ
h ｈ
i ｉ
j ｊ
k ｋ
l ｌ
m ｍ
n ｎ
o ｏ
p ｐ
q ｑ
r ｒ
s ｓ
t ｔ
u ｕ
v ｖ
w ｗ
x ｘ
y ｙ
z ｚ
[ ［
\ ＼
] ］
^ ＾
_ ＿
` ｀
a ａ
b ｂ
c ｃ
d ｄ
e ｅ
f ｆ
g ｇ
h ｈ
i ｉ
j ｊ
k ｋ
l ｌ
m ｍ
n ｎ
o ｏ
p ｐ
q ｑ
r ｒ
s ｓ
t ｔ
u ｕ
v ｖ
w ｗ
x ｘ
y ｙ
z ｚ
{ ｛
| ｜
} ｝
~ ～
